Threshold	NbPartitions	LogL	DF	AIC	AICc	BIC
0	1	-14122.1	184	28612.2	28811.3	29397.4
1	1	-14117.5	186	28607	28811.6	29400.7
0	2	-14096.6	187	28567.1	28774.5	29365.1
2.19356e-05	3	-14094.8	188	28565.7	28775.9	29367.9
0.0001491	4	-14091.7	189	28561.5	28774.6	29368
0.0019803	5	-14091.7	190	28563.4	28779.5	29374.2
0.00480384	7	-14080.8	192	28545.5	28767.4	29364.8
0.006924	8	-14076.2	193	28538.4	28763.3	29362
0.0132882	9	-14072.5	194	28533.1	28761	29360.9
0.016521	10	-14072.5	195	28535.1	28766	29367.2
0.0165212	11	-14071.9	196	28535.9	28769.9	29372.3
0.02025	12	-14071.9	197	28537.9	28775	29378.5
0.0212808	14	-14071.7	199	28541.4	28784.8	29390.5
0.0221472	16	-14069	201	28540	28789.8	29397.7
0.022148	18	-14065.6	203	28537.1	28793.5	29403.3
0.0247766	21	-14058.1	206	28528.1	28794.6	29407.2
0.024778	22	-14058.1	207	28530.1	28800.1	29413.4
0.0254382	23	-14056.3	208	28528.6	28802	29416.2
0.028262	25	-14056.1	210	28532.2	28812.6	29428.3
0.0337635	26	-14045.1	211	28512.2	28796.2	29412.6
0.0337636	29	-14038.3	214	28504.5	28799.5	29417.7
0.048415	30	-14038.1	215	28506.3	28804.9	29423.7
0.048416	31	-14037.6	216	28507.1	28809.5	29428.9
0.0509774	32	-14036.6	217	28507.3	28813.4	29433.2
0.050978	33	-14036.2	218	28508.4	28818.4	29438.7
0.063618	34	-14035.9	219	28509.7	28823.6	29444.3
0.072738	37	-14028.5	222	28501	28826.7	29448.3
0.0835624	38	-14028.3	223	28502.7	28832.4	29454.2
0.096314	41	-14025.4	226	28502.8	28844.8	29467.2
0.107721	42	-14016.8	227	28487.5	28833.7	29456.2
0.116165	43	-14002	228	28460	28810.4	29432.9
0.141492	44	-14002	229	28462	28816.6	29439.1
0.193178	45	-14002	230	28464	28822.9	29445.4
0.197603	46	-14002	231	28466	28829.3	29451.7
0.225114	47	-14001.1	232	28466.3	28834	29456.3
0.239654	48	-13999.7	233	28465.5	28837.7	29459.7
0.246654	50	-13996.2	235	28462.5	28843.7	29465.3
0.248786	51	-13995.9	236	28463.8	28849.6	29470.9
0.255262	52	-13995.7	237	28465.5	28855.8	29476.8
0.256802	53	-13995.4	238	28466.7	28861.7	29482.3
