Threshold	NbPartitions	LogL	DF	AIC	AICc	BIC
0	1	-14122.1	184	28612.2	28811.3	29397.4
1	1	-14117.5	186	28607	28811.6	29400.7
0	5	-13935.8	190	28251.7	28467.7	29062.5
0.0007074	6	-13932.8	191	28247.7	28466.6	29062.7
0.0137576	7	-13932.7	192	28249.4	28471.3	29068.7
0.0336974	8	-13930.3	193	28246.7	28471.5	29070.2
0.0616972	9	-13929.1	194	28246.2	28474	29074
0.111191	10	-13928	195	28245.9	28476.9	29078
0.254305	11	-13927.3	196	28246.5	28480.6	29082.9
0.354728	12	-13926.1	197	28246.2	28483.3	29086.8
0.360749	13	-13923	198	28242.1	28482.3	29087
0.394367	14	-13922.5	199	28243	28486.4	29092.1
0.444962	15	-13922.4	200	28244.8	28491.4	29098.2
0.464397	16	-13921.5	201	28245.1	28494.9	29102.8
0.47884	17	-13921.3	202	28246.6	28499.7	29108.6
0.539761	18	-13919.1	203	28244.2	28500.7	29110.5
0.635706	19	-13917.5	204	28243	28502.7	29113.5
0.639913	20	-13917.2	205	28244.5	28507.6	29119.3
0.690318	21	-13917	206	28246	28512.5	29125
0.708421	22	-13915.2	207	28244.3	28514.3	29127.6
0.722016	23	-13912.5	208	28240.9	28514.3	29128.5
0.727366	24	-13911.6	209	28241.2	28518.2	29133.1
0.758824	25	-13911.3	210	28242.7	28523.1	29138.8
