Genus,species,sp,mass
1,Elephantulus,sp.,Elephantulus_sp._VB001,NA
2,Macroscelides,proboscideus,Macroscelides_proboscideus,40
3,Chrysochloris,asiatica,Chrysochloris_asiatica,NA
4,Echinops,telfairi,Echinops_telfairi,180
5,Orycteropus,afer,Orycteropus_afer,60000
6,Procavia,capensis,Procavia_capensis,3600
7,Dugong,dugon,Dugong_dugon,360000
8,Mammut,americanum,Mammut_americanum,NA
9,Loxodonta,africana,Loxodonta_africana,4800000
10,Mammuthus,primigenius,Mammuthus_primigenius,NA
11,Elephas,maximus,Elephas_maximus,3178000
12,Cervus,unicolor,Cervus_unicolor_swinhoei,185000
13,Cervus,elaphus,Cervus_elaphus,2e+05
14,Cervus,nippon,Cervus_nippon_centralis,42000
15,Rangifer,tarandus,Rangifer_tarandus,101250
16,Elaphodus,cephalophus,Elaphodus_cephalophus,33500
17,Muntiacus,crinifrons,Muntiacus_crinifrons,NA
18,Muntiacus,muntjak,Muntiacus_muntjak,21000
19,Muntiacus,reevesi,Muntiacus_reevesi,18000
20,Muntiacus,reevesi,Muntiacus_reevesi_micrurus,18000
21,Ovis,aries,Ovis_aries,110000
22,Ammotragus,lervia,Ammotragus_lervia,92500
23,Capra,hircus,Capra_hircus,61000
24,Pantholops,hodgsonii,Pantholops_hodgsonii,NA
25,Bos,taurus,Bos_taurus,750000
26,Bos,indicus,Bos_indicus,NA
27,Bos,grunniens,Bos_grunniens,667000
28,Bubalus,bubalis,Bubalus_bubalis,725000
29,Hippopotamus,amphibius,Hippopotamus_amphibius,3750000
30,Sus,scrofa,Sus_scrofa,180000
31,Phacochoerus,africanus,Phacochoerus_africanus,1e+05
32,Lama,pacos,Lama_pacos,62000
33,Camelus,bactrianus,Camelus_bactrianus,475000
34,Camelus,bactrianus,Camelus_bactrianus_ferus,475000
35,Ailurus,fulgens,Ailurus_fulgens_styani,4325
36,Meles,meles,Meles_meles_anakuma,13000
37,Gulo,gulo,Gulo_gulo,16333.3
38,Martes,melampus,Martes_melampus,1000
39,Enhydra,lutris,Enhydra_lutris,25850
40,Procyon,lotor,Procyon_lotor,6000
41,Canis,lupus,Canis_lupus,26625
42,Canis,latrans,Canis_latrans,13250
43,Vulpes,vulpes,Vulpes_vulpes,4131.7
44,Ailuropoda,melanoleuca,Ailuropoda_melanoleuca,117500
45,Ursus,thibetanus,Ursus_thibetanus_formosanus,103750
46,Ursus,americanus,Ursus_americanus,154250
47,Ursus,arctos,Ursus_arctos,277500
48,Ursus,maritimus,Ursus_maritimus,475000
49,Pipistrellus,abramus,Pipistrellus_abramus,NA
50,Chalinolobus,tuberculatus,Chalinolobus_tuberculatus,NA
51,Artibeus,jamaicensis,Artibeus_jamaicensis,42.2
52,Mystacina,tuberculata,Mystacina_tuberculata,23.5
53,Rousettus,aegyptiacus,Rousettus_aegyptiacus,NA
54,Pteropus,scapulatus,Pteropus_scapulatus,300
55,Pteropus,dasymallus,Pteropus_dasymallus,435
56,Rhinolophus,monoceros,Rhinolophus_monoceros,NA
57,Rhinolophus,pumilus,Rhinolophus_pumilus,NA
58,Balaenoptera,physalus,Balaenoptera_physalus,7e+07
59,Megaptera,novaeangliae,Megaptera_novaeangliae,3e+07
60,Balaenoptera,omurai,Balaenoptera_omurai,NA
61,Balaenoptera,edeni,Balaenoptera_edeni,1.6e+07
62,Balaenoptera,brydei,Balaenoptera_brydei,NA
63,Balaenoptera,borealis,Balaenoptera_borealis,2e+07
64,Balaenoptera,musculus,Balaenoptera_musculus,1.36e+08
65,Balaenoptera,bonaerensis,Balaenoptera_bonaerensis,NA
66,Balaenoptera,acutorostrata,Balaenoptera_acutorostrata,7500000
67,Eschrichtius,robustus,Eschrichtius_robustus,28500000
68,Caperea,marginata,Caperea_marginata,NA
69,Balaena,mysticetus,Balaena_mysticetus,1e+08
70,Eubalaena,japonica,Eubalaena_japonica,NA
71,Eubalaena,australis,Eubalaena_australis,4.5e+07
72,Kogia,breviceps,Kogia_breviceps,424600
73,Physeter,catodon,Physeter_catodon,42500000
74,Hyperoodon,ampullatus,Hyperoodon_ampullatus,6500000
75,Berardius,bairdii,Berardius_bairdii,11380000
76,Platanista,minor,Platanista_minor,NA
77,Pontoporia,blainvillei,Pontoporia_blainvillei,40500
78,Inia,geoffrensis,Inia_geoffrensis,84000
79,Lipotes,vexillifer,Lipotes_vexillifer,83500
80,Lagenorhynchus,albirostris,Lagenorhynchus_albirostris,NA
81,Phocoena,phocoena,Phocoena_phocoena,52500
82,Monodon,monoceros,Monodon_monoceros,1250000
83,Sciurus,vulgaris,Sciurus_vulgaris,600
84,Myoxus,glis,Myoxus_glis,125
85,Cavia,porcellus,Cavia_porcellus,728
86,Thryonomys,swinderianus,Thryonomys_swinderianus,6600
87,Anomalurus,sp.,Anomalurus_sp.,NA
88,Jaculus,jaculus,Jaculus_jaculus,55
89,Nannospalax,ehrenbergi,Nannospalax_ehrenbergi,160
90,Microtus,kikuchii,Microtus_kikuchii,NA
91,Microtus,rossiaemeridionalis,Microtus_rossiaemeridionalis,NA
92,Cricetulus,griseus,Cricetulus_griseus,NA
